"filename", "language", "Java", "XML", "CSS", "comment", "blank", "total"
"c:\Users\mckec\OneDrive\Coding\HospitalApplication\src\main\java\ha\hospitalapplication\App.java", "Java", 54, 0, 0, 24, 13, 91
"c:\Users\mckec\OneDrive\Coding\HospitalApplication\src\main\java\ha\hospitalapplication\Authenticator.java", "Java", 56, 0, 0, 51, 10, 117
"c:\Users\mckec\OneDrive\Coding\HospitalApplication\src\main\java\ha\hospitalapplication\Controller.java", "Java", 418, 0, 0, 222, 42, 682
"c:\Users\mckec\OneDrive\Coding\HospitalApplication\src\main\java\ha\hospitalapplication\DatabaseManager.java", "Java", 64, 0, 0, 9, 7, 80
"c:\Users\mckec\OneDrive\Coding\HospitalApplication\src\main\java\ha\hospitalapplication\Help.java", "Java", 27, 0, 0, 12, 4, 43
"c:\Users\mckec\OneDrive\Coding\HospitalApplication\src\main\java\ha\hospitalapplication\Main.java", "Java", 6, 0, 0, 1, 3, 10
"c:\Users\mckec\OneDrive\Coding\HospitalApplication\src\main\java\ha\hospitalapplication\Patient.java", "Java", 176, 0, 0, 58, 39, 273
"c:\Users\mckec\OneDrive\Coding\HospitalApplication\src\main\java\ha\hospitalapplication\PatientManager.java", "Java", 124, 0, 0, 32, 15, 171
"c:\Users\mckec\OneDrive\Coding\HospitalApplication\src\main\java\ha\hospitalapplication\User.java", "Java", 29, 0, 0, 0, 9, 38
"c:\Users\mckec\OneDrive\Coding\HospitalApplication\src\main\java\ha\hospitalapplication\UserManager.java", "Java", 17, 0, 0, 0, 5, 22
"c:\Users\mckec\OneDrive\Coding\HospitalApplication\src\main\java\ha\hospitalapplication\Validator.java", "Java", 89, 0, 0, 47, 14, 150
"c:\Users\mckec\OneDrive\Coding\HospitalApplication\src\main\java\module-info.java", "Java", 9, 0, 0, 0, 3, 12
"c:\Users\mckec\OneDrive\Coding\HospitalApplication\src\main\resources\ha\hospitalapplication\AddPatient.css", "CSS", 0, 0, 61, 5, 15, 81
"c:\Users\mckec\OneDrive\Coding\HospitalApplication\src\main\resources\ha\hospitalapplication\AddPatient.fxml", "XML", 0, 167, 0, 0, 3, 170
"c:\Users\mckec\OneDrive\Coding\HospitalApplication\src\main\resources\ha\hospitalapplication\HelpMenu.css", "CSS", 0, 0, 65, 5, 15, 85
"c:\Users\mckec\OneDrive\Coding\HospitalApplication\src\main\resources\ha\hospitalapplication\HelpMenu.fxml", "XML", 0, 186, 0, 0, 3, 189
"c:\Users\mckec\OneDrive\Coding\HospitalApplication\src\main\resources\ha\hospitalapplication\MainMenu.css", "CSS", 0, 0, 71, 5, 17, 93
"c:\Users\mckec\OneDrive\Coding\HospitalApplication\src\main\resources\ha\hospitalapplication\MainMenu.fxml", "XML", 0, 121, 0, 0, 3, 124
"c:\Users\mckec\OneDrive\Coding\HospitalApplication\src\main\resources\ha\hospitalapplication\RemovePatient.css", "CSS", 0, 0, 70, 5, 16, 91
"c:\Users\mckec\OneDrive\Coding\HospitalApplication\src\main\resources\ha\hospitalapplication\RemovePatient.fxml", "XML", 0, 128, 0, 0, 3, 131
"c:\Users\mckec\OneDrive\Coding\HospitalApplication\src\main\resources\ha\hospitalapplication\SignInMenu.css", "CSS", 0, 0, 69, 5, 16, 90
"c:\Users\mckec\OneDrive\Coding\HospitalApplication\src\main\resources\ha\hospitalapplication\SignInMenu.fxml", "XML", 0, 127, 0, 0, 3, 130
"c:\Users\mckec\OneDrive\Coding\HospitalApplication\src\main\resources\ha\hospitalapplication\SignUpMenu.css", "CSS", 0, 0, 70, 5, 16, 91
"c:\Users\mckec\OneDrive\Coding\HospitalApplication\src\main\resources\ha\hospitalapplication\SignUpMenu.fxml", "XML", 0, 138, 0, 0, 3, 141
"Total", "-", 1069, 867, 406, 486, 277, 3105
